2018-12-18 23:06:33,INFO,updateStockBasic.py,update_stock_base,finish update stock basic
2018-12-18 23:06:35,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:36,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:37,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:39,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:40,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:41,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:43,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:44,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:45,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:46,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:48,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:49,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:50,ERROR,updateStockData.py,update_stock_data,other error
2018-12-18 23:06:51,INFO,updateStockData.py,update_stock_data,finish update stock data
2018-12-18 23:06:52,INFO,updateStockData.py,update_stock_data,finish update stock data
